"휴지는 필수, 예상보다 더 많이 울게 될 거예요. 보는 것 자체로 의미가 있는 영화.,10"
"엄마는 결국 같이 뛰어내려주는 존재,9"
"판도라 행성에서 다큐를 찍고 왔네,10"
"색감으로 인해 많이 잔인하다고 안 느껴졌으며 조니뎁의 연기가 인상깊어요,10"
"저는 아바타1편도 안봐서  기대안하고 보는데 너~무 재미있고 보면 볼수록 빠져들어서 너무 좋았어요.  3시간이 아깝지 안고  아바타3도 빨리 나오면 좋겠어요.,10"
"ㅠㅠ 설명할수 없는 감동이 ㅜㅜ 다들 꼭 보세요~~,10"
"현존하는 최고의 영화입니다,10"
"개망작영화 3000원 주고 봤는데도 돈 아까움제발 보지마세요,1"
"가슴을 울린 영화였다.,10"
"정성화 나문희가 살렸다 생각보다 뮤지컬적인 요소들이 자연스럽고 리드미컬하게 구성되어 이질감은 없었으나 상업영화의 장치로 의미 없는 유머코드로 감정선이 계속 흔들린다 제발 안중근(정성화) 하는 유머코드라도 뺏으면(베개맞는 씬, 부부가 아니라는 씬-개그맨 정성화가 떠오른다) 뮤지컬로 다시 보고싶다,8"
"인생 영화 입니다.많은 메세지가 담겨 있습니다.,10"
"뮤지컬도 너무 좋아했는데 뮤지컬을 이미 봣어서 그런가 뮤지컬만한 감동은 없었지만 기대 이상으로 만족하고 봣습니다,9"
"꼭 보세요. 다시한번 나라의 독립을 위해 목숨을 바치신 독립운동가분들께 허리숙여 감사드립니다.특히 윤석렬대통령이 보기를,10"
"전편보다 스토리측면에선 뻔했지만 눈으로 즐길수있는 최대한의 CG!!,9"
"1편은 올바름에 대한 정체성을 찾아가는 스토리라면 2편은 가족의 사랑과 책임에 대해서 많은 것을 느끼게 해주네요 한층 업그레이드 된 영상미와 각 캐릭터의 감정선을 잘 다루어서 지루하지 않게 3시간을 즐겼습니다,10"
"눈물을 넘 많이흘림ㅠㅠ,10"
"억지코믹은 어색했지만 노래도 좋고 독립운동에 대해 감사한마음이 드는 영화,7"
"제대로된 쏘우 시리즈가 보고 싶다,6"
"아바타 1보다 대단한 지원을 받은 곳의 사령관이 고작 과학자의 대형 포경선 하나 지원하는 영화. 아바타 1은 대형전투기 및 수많은 지원을 해줬는데 아바타 2에선 대형 전함도 아닌 과학자의 대형 포경선 하나? 물의 부족은 싸우다가 갑자기 사라지고, ‘투크’는 끝까지 활약 없이 짐덩이만 되는데 분량만 많고 실망이다. 감독님 3편만 믿겠습니다,6"
"한국인이라 그런지 먹먹 하게 들어오네요,10"
"I saw on 3D, It was so amazing and touched. The actors' performances were perfect! The production was awesome, too. Now I want to see the more series of AVATAR.,10"
"결말이 참신했음. 스포라서 말할순 없으나, 범인 밝혀낸 이후의 내용이 코난,김전일에서 보는 흔히 있는 결말이 아니라서 참신하고 좋았음.,10"
"CG로 도배한 만화. 스토리는 초딩 수준.,2"
"3시간이라는 러닝타임 동안 놀라움과 감동을 오롯이  느끼며 영화에 몰입할수 있었다. 위대한 자연과 가족, 연대가 하나될때 거대해보이는 폭력과 위협을 극복할수 있음을 느꼈다. I  see  you!!,10"
"기대가 좀 컸던 탓인지 눈이 높아진 것인지 그냥 어디선가 본 듯한 내용구성과 캐릭터들 심지어 외계동물(?) 들도 낯설지 않은 느낌.그냥 한 번 본거 또 보는 듯한 느낌이 ..,6"
"영화 보러 갈때 팝콘도 안 샀습니다. 진지하게 볼려고... 중간중간 개그가 흐름을 방해 했긴 하지만 그외엔 모두 만족 합니다 ㅋㅋㅋ,10"
"영화 끝나자마자 당장 소설책을 구매해야겠다고 느꼈다.,10"
"또 보러 갈듯요~ 아들이 또 보러 가자고 난리난리.,10"
"저는 너무 재밌게 봣어요김고은씨  노래 진짜 잘하시구요정성화씨는 뮤지컬을 하셔서인지 성량이 넘 멋졌어요상황마다 노래 부르는 대목에서 많이 울었네요,10"
"감동의 대서사시가 120분동안 펼쳐진다,10"
"최고의 영화였습니다.이렇게 지켜낸 조국을...암담한 현실이 오버랩되면서 한숨과 눈물이 절로 나왔습니다.,10"
"꼭 봐야하는 영화. 더 이상의 어떤 설명보다.,10"
"영상미는 좋지만 스토리가 ㅅㅂ임 보다가 ”나갈까“라는 생각 수십번함,1"
"두번째 숨으로 기억될 세번째 시리즈도 존버해봅니다,10"
"너무 아름답고 슬픈 감동적인영화인데 두번은못보겠어요 ㅠ 눈이 부어서 ㅠㅠ 아름다워요 영상미 너무 예쁘고 연기장인들 ㅠ,10"
"최고의 영화였습니다.,10"
"잼있어요 리얼하고대신 러닝타임이 길어서 중간에 쉬고 싶을정도로 ㅎㅎ,9"
"억지스런 장면 없이 담담하게 이끌어가는 줄리안 무어의 연기력이란...,5"
"사랑이라는 복합적 감정을 해석하기 난해한 배경으로 풀어낼 필요가 있었을까,1"
"아이맥스로 보세요 진짜 강추,10"
"기승전 꽁트+결 신파+허접한 cg영화 해운대 같은 jk필름 특유의 레파토리 좋아하시면 재밌게 볼 수 있어요.해운대랑 진행방식이 똑같아요.개인 적으로 20년전에 개봉했으면 나쁘지 않았을거같아요,5"
"아바타물의길 돌비시네마에서 보면 좋아요!,8"
"OST 가 너무 좋아서 출근하고 퇴근할 때마다 들어보고 있습니다.,10"
"돈 아까움 재미도 없고 감동도 없고지루해서 꾸역구역 보긴했음,2"
"진짜 존나 ㄹㅇ 겁나 엄청 눈물난다,10"
"미국 드라마스케일이 너무나 큰 드라마스토리가 너무 억지스럽게 느껴짐,6"
"이미 배워서 아는 내용이었음에도 너무 서글펐던 영화..,10"
"열정적이고 용기있는 사랑,10"
"500만명은 거뜬히 넘길 작품인 거 같은데 홍보가 부족한지 뭔가 아쉬운 관객수예요~상영관도 너무 적구ㅠ솔직히 한산보다 훨~~~씬 재밌었어요!역사적 사실에 기막힌 상상력의 조화가 정말 좋았어요^^,9"
"CG가 우수하다하는데, 1편에 비해  CG기술 발전했다 말할 수 없었고요,스토리나 연출은 뭐 할말이 없네요11년 동안 뭐하셨나요? 그냥 OTT에 뜨면 보세요.,1"
"' 존 윅 '보다는 일본영화 ' 죽이지않는 킬러:페이블'을 보고 모티브를 얻은거 같은데?,6"
"역시 대한민국말장난으로는 크게 나도모르게 웃었지만. 이정도의높은평점은 아니지않나 외국사람들이보면 실망할 작품?!,6"
"불꽃같은 연기로 시대의 아픔을 제대로 전달,10"
"유머코드는 아쉽지만 후반 20분 내내 눈물이 줄줄... 결국 터지고 말았습니다.,10"
"재밌었어요 꼭 4D로 보세요 스토리 다 제껴도 영상때문에 3시간 생각보다 금방 갔어요,10"
"대한민국 국민이라면 꼭 보셨으면 좋겠습니다,10"
"천만 관객을 넘어 이천만 관객이 봫음 좋겠다.,10"
"한국 뮤지컬영화중 최고. 김고은 정성화 연기력 훌륭하고 연출력도 좋네요 천만가야할 영화,10"
"최악초아아ㅏ앙아악악악악,2"
"좀 슬펐지만 내용이 좋았습니다,9"
"오랜만에 나온 후속작인데 기대만큼 잘 나온거 같아요,9"
"연기나 스토리가 불편한 것이 아니라뮤지컬과 같은 음악적 요소가 기존 영화와는 차별이 있어 낯선것 뿐이다.최초 뮤지컬 영화라는 것이 팩트.그럼 스토리전개,음악적 요소와 배우들은 연기만 보면 되고그것만 본다면 최고중의 최고의 영화라 생각한다.,10"
"오랜만에 눈이 행복했어요^^,10"
"조국이 고맙다..민주팔이 세력이 건 판돈을 날려버린 아저씨.마누라 감옥에 있을 때 여대생들과 헬스장에서 셀카찍는 로맨틱한 남자.ㅋ,1"
"하나의 세계에 내가 들어간 기분이었습니다. 너무 좋았어요,10"
"연출이 작위적이고, 배우들의 연기도 긴장감이 느껴지지 않는다. 이건 그냥 짜고치는 이야기. 재미없지만 장르가 주는 매력은 있다. 다음 편 나오면 또 보겠지.,6"
"초2 아들과 함께 봤습니다. 스토리는 잘 이해를 못한 듯한데 3d 영화를 경험했다는 것, 바다의 아름다움을 느끼고 수영을 잘하고 싶다 동기 부여가 된 것,환경을 보호해야겠다 생각하게 된 것, 무엇보다 영화를 보고 부모와 대화할 거리가 무궁무진했다는 것만으로도 이 영화를 가족과 무조건 보길 추천드립니다. 영화표 값이 싸게 느껴지는 몇 안되는 영화입니다.,10"
"찢었다!! 경이로운 영화다! 이런 영화를 볼 수 있게 만들어 준  제임스 카메론감독이 고맙더라!,10"
"https://youtu.be/S9ulaE1IXMU 영화 맛보기,8"
"한번 더 보고싶다하지만  한번만 보는걸로다시 보는게 아깝다   아껴 보고싶다  이런 인생작은♡,10"
"이 영화 보고 암이 나았습니다,1"
"wow 너무 재미있어요,10"
"생각보다 난해한 영화 나쁘다고 볼수는 없지만,6"
"안중근 의사가 이토 히로부미를 처단하는 통쾌한 장면도 넣고뮤지컬 형식을 통해 기존 영화와는 독특한 장면을위인전에 나온 그대로 안중근 의사의 업적을 영화로 재구성했다.특히 독립 운동을 부정하고 식민지와 일제 침략을 미화하는 몇몇 국내 누리꾼들은 들어라! 일제의 침략이 얼마나 잔인하고 사악한가? 침략에 맞서 조국의 독립을 위해 피 흘리며 열심히 싸우신 독립 투사 분들의 위대한 업적을 부정하지 않았으면 한다. 그리고 113년 동안 돌려받지 못한 것 중에 우리나라 옛 영토인 간도와 더불에 안중근 유해도 조국 품으로 돌아오길 바랍이다. 나라 위해 순국하신 독립 투사 분들의 죽음을 헛되이 하지 말기를... 코레아 우라!,10"
"이 영화은 봐야한다....ㅠㅠ,10"
"배우들 노래를 왤캐 잘함..나라를 잃은 역사속 슬픔에 울컥했네요..,10"
"기대에 넘치는영화였습니다♡,10"
"한국인이라면 봐야할 영화,10"
"6점대는 절대 아님..최소 8점,10"
"평점조작이 의심되네요 평점박하기로 유명한 다음 영화에는 9.2점인데 네이버만 악플테러 ㅋ 영웅은 감동적인 영화라서 약간의 내공이 필요합니다 오글거리거나 눈물 나는 부분에서 받아들일수있어야 벅찬 감동을 느끼실수 있습니다 감정표현이 서투신 분들은 사람들앞에서 울수없으니까 자기 감정을 속이려고할수 있습니다 쪽팔린다고 외면하고 집중안하면 본인 영화값만 아깝습니다 집중하세요!,10"
"1도 기대도 안하고 봤다가 1분도 긴장을 늦출수 없었던 영화를 봤음,10"
"너무 감동적이었어요.또 보고 싶은 영화!,10"
"판도라의 여지餘地가 궁금해진다,8"
"늬들이 영화 직접 만들어 봐라ㅋㅋㅋㅋ평가 하는게 쉽나,10"
"2022년 최고의 영화 입니다.감독, 배우, 수많은 관계자 여러분의 열정과 정성이 고스란히 묻어나는 대작입니다. 꼭 보입시요,10"
"김고은 노래실력에 놀람,5"
"잊어서는 안될 역사를 스크린에서 웅장하게 보는 것만으로도 존재 가치를 보여준 영화!,10"
"1편은 재밌다2편은 13년 묵힌것 치고는 재미없다,6"
"영상 굿 3D로 보길 추천.,9"
"오래 오래 여운이 남네요 ....,10"
"예상보다 시각 효과가 그리 만족스럽진 않지만, 두 종족의 공존과 대립은 나름 흥미롭게 전개된다.,5"
